dataset,wsi_id
TCIA-CPTAC,C3L-02163-22
TCIA-CPTAC,C3L-02163-23
TCIA-CPTAC,C3L-02163-24
TCIA-CPTAC,C3L-02163-25
TCIA-CPTAC,C3L-02164-21
TCIA-CPTAC,C3L-02164-22
TCIA-CPTAC,C3L-02164-23
TCIA-CPTAC,C3L-02164-26
TCIA-CPTAC,C3L-02164-27
TCIA-CPTAC,C3L-02165-21
TCIA-CPTAC,C3L-02165-22
TCIA-CPTAC,C3L-02165-23
TCIA-CPTAC,C3L-02165-24
TCIA-CPTAC,C3L-02165-25
TCIA-CPTAC,C3L-02168-21
TCIA-CPTAC,C3L-02168-22
TCIA-CPTAC,C3L-02168-23
TCIA-CPTAC,C3L-02168-24
TCIA-CPTAC,C3L-02168-25
TCIA-CPTAC,C3L-02168-26
TCIA-CPTAC,C3L-02169-21
TCIA-CPTAC,C3L-02169-22
TCIA-CPTAC,C3L-02169-23
TCIA-CPTAC,C3L-02169-24
TCIA-CPTAC,C3L-02169-25
TCIA-CPTAC,C3L-02169-26
TCIA-CPTAC,C3L-02170-21
TCIA-CPTAC,C3L-02170-22
TCIA-CPTAC,C3L-02170-23
TCIA-CPTAC,C3L-02170-24
TCIA-CPTAC,C3L-02170-25
TCIA-CPTAC,C3L-02219-21
TCIA-CPTAC,C3L-02219-22
TCIA-CPTAC,C3L-02219-26
TCIA-CPTAC,C3L-02345-21
TCIA-CPTAC,C3L-02345-22
TCIA-CPTAC,C3L-02345-23
TCIA-CPTAC,C3L-02345-26
TCIA-CPTAC,C3L-02348-21
TCIA-CPTAC,C3L-02348-22
TCIA-CPTAC,C3L-02348-26
TCIA-CPTAC,C3L-02349-21
TCIA-CPTAC,C3L-02349-26
TCIA-CPTAC,C3L-02350-22
TCIA-CPTAC,C3L-02350-26
TCIA-CPTAC,C3L-02358-21
TCIA-CPTAC,C3L-02358-22
TCIA-CPTAC,C3L-02358-23
TCIA-CPTAC,C3L-02358-26
TCIA-CPTAC,C3L-02365-21
TCIA-CPTAC,C3L-02365-22
TCIA-CPTAC,C3L-02365-23
TCIA-CPTAC,C3L-02365-24
TCIA-CPTAC,C3L-02365-25
TCIA-CPTAC,C3L-02508-21
TCIA-CPTAC,C3L-02508-22
TCIA-CPTAC,C3L-02508-23
TCIA-CPTAC,C3L-02508-24
TCIA-CPTAC,C3L-02508-25
TCIA-CPTAC,C3L-02508-26
TCIA-CPTAC,C3L-02513-21
TCIA-CPTAC,C3L-02513-22
TCIA-CPTAC,C3L-02513-23
TCIA-CPTAC,C3L-02513-24
TCIA-CPTAC,C3L-02513-25
TCIA-CPTAC,C3L-02515-21
TCIA-CPTAC,C3L-02515-22
TCIA-CPTAC,C3L-02515-23
TCIA-CPTAC,C3L-02515-24
TCIA-CPTAC,C3L-02515-25
TCIA-CPTAC,C3L-02546-21
TCIA-CPTAC,C3L-02546-23
TCIA-CPTAC,C3L-02546-26
TCIA-CPTAC,C3L-02549-21
TCIA-CPTAC,C3L-02549-22
TCIA-CPTAC,C3L-02549-26
TCIA-CPTAC,C3L-02552-22
TCIA-CPTAC,C3L-02552-23
TCIA-CPTAC,C3L-02552-26
TCIA-CPTAC,C3L-02559-21
TCIA-CPTAC,C3L-02559-26
TCIA-CPTAC,C3L-02560-21
TCIA-CPTAC,C3L-02560-22
TCIA-CPTAC,C3L-02560-26
TCIA-CPTAC,C3L-02601-21
TCIA-CPTAC,C3L-02601-26
TCIA-CPTAC,C3L-02616-21
TCIA-CPTAC,C3L-02616-22
TCIA-CPTAC,C3L-02616-23
TCIA-CPTAC,C3L-02616-24
TCIA-CPTAC,C3L-02616-25
TCIA-CPTAC,C3L-02616-26
TCIA-CPTAC,C3L-02616-27
TCIA-CPTAC,C3L-02616-28
TCIA-CPTAC,C3L-02618-21
TCIA-CPTAC,C3L-02618-22
TCIA-CPTAC,C3L-02618-23
TCIA-CPTAC,C3L-02618-24
TCIA-CPTAC,C3L-02618-25
TCIA-CPTAC,C3L-02618-26
TCIA-CPTAC,C3L-02618-27
TCIA-CPTAC,C3L-02618-28
TCIA-CPTAC,C3L-02619-21
TCIA-CPTAC,C3L-02619-22
TCIA-CPTAC,C3L-02619-23
TCIA-CPTAC,C3L-02619-24
TCIA-CPTAC,C3L-02619-25
TCIA-CPTAC,C3L-02619-26
TCIA-CPTAC,C3L-02619-27
TCIA-CPTAC,C3L-02619-28
TCIA-CPTAC,C3L-02624-21
TCIA-CPTAC,C3L-02624-22
TCIA-CPTAC,C3L-02624-23
TCIA-CPTAC,C3L-02624-24
TCIA-CPTAC,C3L-02624-25
TCIA-CPTAC,C3L-02624-26
TCIA-CPTAC,C3L-02624-27
TCIA-CPTAC,C3L-02624-28
TCIA-CPTAC,C3L-02625-21
TCIA-CPTAC,C3L-02625-22
TCIA-CPTAC,C3L-02625-23
TCIA-CPTAC,C3L-02625-24
TCIA-CPTAC,C3L-02625-25
TCIA-CPTAC,C3L-02625-26
TCIA-CPTAC,C3L-02625-27
TCIA-CPTAC,C3L-02625-28
TCIA-CPTAC,C3L-02627-21
TCIA-CPTAC,C3L-02627-22
TCIA-CPTAC,C3L-02627-23
TCIA-CPTAC,C3L-02627-24
TCIA-CPTAC,C3L-02627-25
TCIA-CPTAC,C3L-02627-26
TCIA-CPTAC,C3L-02627-27
TCIA-CPTAC,C3L-02627-28
TCIA-CPTAC,C3L-02629-21
TCIA-CPTAC,C3L-02629-22
TCIA-CPTAC,C3L-02629-23
TCIA-CPTAC,C3L-02629-24
TCIA-CPTAC,C3L-02629-25
TCIA-CPTAC,C3L-02629-26
TCIA-CPTAC,C3L-02629-27
TCIA-CPTAC,C3L-02629-28
TCIA-CPTAC,C3L-02643-21
TCIA-CPTAC,C3L-02643-22
TCIA-CPTAC,C3L-02643-23
TCIA-CPTAC,C3L-02643-24
TCIA-CPTAC,C3L-02643-25
TCIA-CPTAC,C3L-02643-26
TCIA-CPTAC,C3L-02643-27
TCIA-CPTAC,C3L-02646-21
TCIA-CPTAC,C3L-02646-22
TCIA-CPTAC,C3L-02646-23
TCIA-CPTAC,C3L-02646-24
TCIA-CPTAC,C3L-02646-25
TCIA-CPTAC,C3L-02646-26
TCIA-CPTAC,C3L-02646-27
TCIA-CPTAC,C3L-02646-28
TCIA-CPTAC,C3L-02648-21
TCIA-CPTAC,C3L-02648-22
TCIA-CPTAC,C3L-02648-23
TCIA-CPTAC,C3L-02648-24
TCIA-CPTAC,C3L-02648-25
TCIA-CPTAC,C3L-02648-26
TCIA-CPTAC,C3L-02648-27
TCIA-CPTAC,C3L-02648-29
TCIA-CPTAC,C3L-02649-21
TCIA-CPTAC,C3L-02649-22
TCIA-CPTAC,C3L-02649-23
TCIA-CPTAC,C3L-02649-24
TCIA-CPTAC,C3L-02649-25
TCIA-CPTAC,C3L-02649-26
TCIA-CPTAC,C3L-02649-27
TCIA-CPTAC,C3L-02649-30
TCIA-CPTAC,C3L-02650-22
TCIA-CPTAC,C3L-02650-23
TCIA-CPTAC,C3L-02650-24
TCIA-CPTAC,C3L-02650-25
TCIA-CPTAC,C3L-02650-26
TCIA-CPTAC,C3L-02650-28
TCIA-CPTAC,C3L-02650-29
TCIA-CPTAC,C3L-02650-30
TCIA-CPTAC,C3L-02654-21
TCIA-CPTAC,C3L-02654-22
TCIA-CPTAC,C3L-02654-23
TCIA-CPTAC,C3L-02654-24
TCIA-CPTAC,C3L-02654-25
TCIA-CPTAC,C3L-02654-26
TCIA-CPTAC,C3L-02654-27
TCIA-CPTAC,C3L-02654-28
TCIA-CPTAC,C3L-02660-21
TCIA-CPTAC,C3L-02660-22
TCIA-CPTAC,C3L-02660-23
TCIA-CPTAC,C3L-02660-24
TCIA-CPTAC,C3L-02660-25
TCIA-CPTAC,C3L-02660-26
TCIA-CPTAC,C3L-02660-27
TCIA-CPTAC,C3L-02660-28
TCIA-CPTAC,C3L-02661-21
TCIA-CPTAC,C3L-02661-22
TCIA-CPTAC,C3L-02661-23
TCIA-CPTAC,C3L-02661-24
TCIA-CPTAC,C3L-02661-25
TCIA-CPTAC,C3L-02661-26
TCIA-CPTAC,C3L-02661-27
TCIA-CPTAC,C3L-02665-21
TCIA-CPTAC,C3L-02665-22
TCIA-CPTAC,C3L-02665-23
TCIA-CPTAC,C3L-02665-24
TCIA-CPTAC,C3L-02665-25
TCIA-CPTAC,C3L-02665-26
TCIA-CPTAC,C3L-02665-27
TCIA-CPTAC,C3L-02665-28
TCIA-CPTAC,C3L-02669-21
TCIA-CPTAC,C3L-02669-22
TCIA-CPTAC,C3L-02669-23
TCIA-CPTAC,C3L-02669-24
TCIA-CPTAC,C3L-02669-25
TCIA-CPTAC,C3L-02669-26
TCIA-CPTAC,C3L-02669-27
TCIA-CPTAC,C3L-02669-28
TCIA-CPTAC,C3L-02834-21
TCIA-CPTAC,C3L-02834-22
TCIA-CPTAC,C3L-02834-23
TCIA-CPTAC,C3L-02834-24
TCIA-CPTAC,C3L-02834-25
TCIA-CPTAC,C3L-02834-26
TCIA-CPTAC,C3L-02891-21
TCIA-CPTAC,C3L-02891-23
TCIA-CPTAC,C3L-02891-26
TCIA-CPTAC,C3L-02893-22
TCIA-CPTAC,C3L-02893-26
TCIA-CPTAC,C3L-02951-22
TCIA-CPTAC,C3L-02951-23
TCIA-CPTAC,C3L-02951-26
TCIA-CPTAC,C3L-02954-21
TCIA-CPTAC,C3L-02954-26
TCIA-CPTAC,C3L-02957-21
TCIA-CPTAC,C3L-02957-22
TCIA-CPTAC,C3L-02957-23
TCIA-CPTAC,C3L-02957-26
TCIA-CPTAC,C3L-02958-21
TCIA-CPTAC,C3L-02958-26
TCIA-CPTAC,C3L-02961-21
TCIA-CPTAC,C3L-02961-26
TCIA-CPTAC,C3L-02963-21
TCIA-CPTAC,C3L-02963-22
TCIA-CPTAC,C3L-02963-23
TCIA-CPTAC,C3L-02963-26
TCIA-CPTAC,C3L-02964-21
TCIA-CPTAC,C3L-02964-22
TCIA-CPTAC,C3L-02964-26
TCIA-CPTAC,C3L-02967-21
TCIA-CPTAC,C3L-02967-26
TCIA-CPTAC,C3L-02968-22
TCIA-CPTAC,C3L-02968-26
TCIA-CPTAC,C3L-02969-21
TCIA-CPTAC,C3L-02969-22
TCIA-CPTAC,C3L-02969-26
TCIA-CPTAC,C3L-03262-21
TCIA-CPTAC,C3L-03262-22
TCIA-CPTAC,C3L-03262-23
TCIA-CPTAC,C3L-03262-24
TCIA-CPTAC,C3L-03262-25
TCIA-CPTAC,C3L-03262-26
TCIA-CPTAC,C3L-03268-21
TCIA-CPTAC,C3L-03268-22
TCIA-CPTAC,C3L-03268-23
TCIA-CPTAC,C3L-03268-24
TCIA-CPTAC,C3L-03268-25
TCIA-CPTAC,C3L-03268-26
TCIA-CPTAC,C3L-03271-21
TCIA-CPTAC,C3L-03271-22
TCIA-CPTAC,C3L-03271-23
TCIA-CPTAC,C3L-03271-24
TCIA-CPTAC,C3L-03271-25
TCIA-CPTAC,C3L-03271-26
TCIA-CPTAC,C3L-03272-21
TCIA-CPTAC,C3L-03272-22
TCIA-CPTAC,C3L-03272-23
TCIA-CPTAC,C3L-03272-24
TCIA-CPTAC,C3L-03272-25
TCIA-CPTAC,C3L-03272-26
TCIA-CPTAC,C3L-03462-21
TCIA-CPTAC,C3L-03462-22
TCIA-CPTAC,C3L-03462-23
TCIA-CPTAC,C3L-03462-24
TCIA-CPTAC,C3L-03463-26
TCIA-CPTAC,C3L-03463-27
TCIA-CPTAC,C3L-03642-21
TCIA-CPTAC,C3L-03642-22
TCIA-CPTAC,C3L-03678-21
TCIA-CPTAC,C3L-03678-22
TCIA-CPTAC,C3L-03678-23
TCIA-CPTAC,C3L-03679-21
TCIA-CPTAC,C3L-03679-22
TCIA-CPTAC,C3L-03717-21
TCIA-CPTAC,C3L-03717-22
TCIA-CPTAC,C3L-03721-21
TCIA-CPTAC,C3L-03721-22
TCIA-CPTAC,C3L-03726-21
TCIA-CPTAC,C3L-03726-22
TCIA-CPTAC,C3L-03726-23
TCIA-CPTAC,C3L-03726-24
TCIA-CPTAC,C3L-03726-25
TCIA-CPTAC,C3L-03726-26
TCIA-CPTAC,C3L-03961-21
TCIA-CPTAC,C3L-03961-22
TCIA-CPTAC,C3L-03961-23
TCIA-CPTAC,C3L-03961-24
TCIA-CPTAC,C3L-03961-25
TCIA-CPTAC,C3L-03961-26
TCIA-CPTAC,C3L-03961-27
TCIA-CPTAC,C3L-03961-28
TCIA-CPTAC,C3L-03962-21
TCIA-CPTAC,C3L-03962-22
TCIA-CPTAC,C3L-03962-23
TCIA-CPTAC,C3L-03962-24
TCIA-CPTAC,C3L-03962-25
TCIA-CPTAC,C3L-03962-26
TCIA-CPTAC,C3L-03962-27
TCIA-CPTAC,C3L-03962-28
TCIA-CPTAC,C3L-03963-21
TCIA-CPTAC,C3L-03963-22
TCIA-CPTAC,C3L-03963-23
TCIA-CPTAC,C3L-03963-24
TCIA-CPTAC,C3L-03963-25
TCIA-CPTAC,C3L-03963-26
TCIA-CPTAC,C3L-03963-27
TCIA-CPTAC,C3L-03963-28
TCIA-CPTAC,C3L-03965-21
TCIA-CPTAC,C3L-03965-22
TCIA-CPTAC,C3L-03965-23
TCIA-CPTAC,C3L-03965-24
TCIA-CPTAC,C3L-03965-25
TCIA-CPTAC,C3L-03965-26
TCIA-CPTAC,C3L-03965-27
TCIA-CPTAC,C3L-03965-28
TCIA-CPTAC,C3L-03969-21
TCIA-CPTAC,C3L-03969-22
TCIA-CPTAC,C3L-03969-23
TCIA-CPTAC,C3L-03969-24
TCIA-CPTAC,C3L-03969-25
TCIA-CPTAC,C3L-03969-26
TCIA-CPTAC,C3L-03969-27
TCIA-CPTAC,C3L-03969-28
TCIA-CPTAC,C3L-03976-21
TCIA-CPTAC,C3L-03976-22
TCIA-CPTAC,C3L-03976-23
TCIA-CPTAC,C3L-03976-24
TCIA-CPTAC,C3L-03976-25
TCIA-CPTAC,C3L-03976-26
TCIA-CPTAC,C3L-03976-27
TCIA-CPTAC,C3L-03976-28
TCIA-CPTAC,C3L-03982-21
TCIA-CPTAC,C3L-03982-22
TCIA-CPTAC,C3L-03982-23
TCIA-CPTAC,C3L-03982-24
TCIA-CPTAC,C3L-03982-25
TCIA-CPTAC,C3L-03982-26
TCIA-CPTAC,C3L-03982-27
TCIA-CPTAC,C3L-03982-28
TCIA-CPTAC,C3L-03984-21
TCIA-CPTAC,C3L-03984-22
TCIA-CPTAC,C3L-03984-23
TCIA-CPTAC,C3L-03984-24
TCIA-CPTAC,C3L-03984-25
TCIA-CPTAC,C3L-03984-26
TCIA-CPTAC,C3L-03984-27
TCIA-CPTAC,C3L-03984-28
TCIA-CPTAC,C3L-03985-21
TCIA-CPTAC,C3L-03985-22
TCIA-CPTAC,C3L-03985-23
TCIA-CPTAC,C3L-03985-24
TCIA-CPTAC,C3L-03985-25
TCIA-CPTAC,C3L-03985-26
TCIA-CPTAC,C3L-03985-27
TCIA-CPTAC,C3L-03985-28
TCIA-CPTAC,C3L-03987-21
TCIA-CPTAC,C3L-03987-22
TCIA-CPTAC,C3L-03987-23
TCIA-CPTAC,C3L-03987-24
TCIA-CPTAC,C3L-03987-25
TCIA-CPTAC,C3L-03987-26
TCIA-CPTAC,C3L-03987-27
TCIA-CPTAC,C3L-03987-28
TCIA-CPTAC,C3L-04013-21
TCIA-CPTAC,C3L-04013-22
TCIA-CPTAC,C3L-04013-23
TCIA-CPTAC,C3L-04013-24
TCIA-CPTAC,C3L-04013-25
TCIA-CPTAC,C3L-04013-26
TCIA-CPTAC,C3L-04013-27
TCIA-CPTAC,C3L-04013-28
TCIA-CPTAC,C3L-04014-21
TCIA-CPTAC,C3L-04014-22
TCIA-CPTAC,C3L-04014-23
TCIA-CPTAC,C3L-04014-24
TCIA-CPTAC,C3L-04014-25
TCIA-CPTAC,C3L-04014-26
TCIA-CPTAC,C3L-04014-27
TCIA-CPTAC,C3L-04014-28
TCIA-CPTAC,C3L-04031-21
TCIA-CPTAC,C3L-04031-22
TCIA-CPTAC,C3L-04031-23
TCIA-CPTAC,C3L-04031-24
TCIA-CPTAC,C3L-04031-25
TCIA-CPTAC,C3L-04031-26
TCIA-CPTAC,C3L-04031-27
TCIA-CPTAC,C3L-04031-28
TCIA-CPTAC,C3L-04033-21
TCIA-CPTAC,C3L-04033-22
TCIA-CPTAC,C3L-04033-23
TCIA-CPTAC,C3L-04033-24
TCIA-CPTAC,C3L-04033-25
TCIA-CPTAC,C3L-04033-26
TCIA-CPTAC,C3L-04033-27
TCIA-CPTAC,C3L-04033-28
TCIA-CPTAC,C3L-04037-21
TCIA-CPTAC,C3L-04037-22
TCIA-CPTAC,C3L-04037-23
TCIA-CPTAC,C3L-04037-24
TCIA-CPTAC,C3L-04037-25
TCIA-CPTAC,C3L-04037-26
TCIA-CPTAC,C3L-04037-27
TCIA-CPTAC,C3L-04037-28
TCIA-CPTAC,C3L-04040-21
TCIA-CPTAC,C3L-04040-22
TCIA-CPTAC,C3L-04040-23
TCIA-CPTAC,C3L-04040-24
TCIA-CPTAC,C3L-04040-25
TCIA-CPTAC,C3L-04040-26
TCIA-CPTAC,C3L-04040-27
TCIA-CPTAC,C3L-04040-28
TCIA-CPTAC,C3L-04071-21
TCIA-CPTAC,C3L-04071-22
TCIA-CPTAC,C3L-04071-23
TCIA-CPTAC,C3L-04071-24
TCIA-CPTAC,C3L-04079-21
TCIA-CPTAC,C3L-04079-22
TCIA-CPTAC,C3L-04079-23
TCIA-CPTAC,C3L-04086-21
TCIA-CPTAC,C3L-04086-22
TCIA-CPTAC,C3L-04086-23
TCIA-CPTAC,C3L-04086-24
TCIA-CPTAC,C3L-04086-25
TCIA-CPTAC,C3L-04086-26
TCIA-CPTAC,C3L-04086-27
TCIA-CPTAC,C3L-04086-28
TCIA-CPTAC,C3L-04216-21
TCIA-CPTAC,C3L-04216-22
TCIA-CPTAC,C3L-04216-23
TCIA-CPTAC,C3L-04216-24
TCIA-CPTAC,C3L-04216-25
TCIA-CPTAC,C3L-04216-26
TCIA-CPTAC,C3L-04216-27
TCIA-CPTAC,C3L-04216-28
TCIA-CPTAC,C3L-04334-21
TCIA-CPTAC,C3L-04334-22
TCIA-CPTAC,C3L-04334-23
TCIA-CPTAC,C3L-04334-24
TCIA-CPTAC,C3L-04334-25
TCIA-CPTAC,C3L-04334-26
TCIA-CPTAC,C3L-04334-27
TCIA-CPTAC,C3L-04334-28
TCIA-CPTAC,C3L-04336-21
TCIA-CPTAC,C3L-04336-22
TCIA-CPTAC,C3L-04336-23
TCIA-CPTAC,C3L-04336-24
TCIA-CPTAC,C3L-04336-25
TCIA-CPTAC,C3L-04336-26
TCIA-CPTAC,C3L-04336-27
TCIA-CPTAC,C3L-04336-28
TCIA-CPTAC,C3L-04361-21
TCIA-CPTAC,C3L-04361-22
TCIA-CPTAC,C3L-04361-23
TCIA-CPTAC,C3L-04361-24
TCIA-CPTAC,C3L-04361-25
TCIA-CPTAC,C3L-04361-26
TCIA-CPTAC,C3L-04365-21
TCIA-CPTAC,C3L-04365-22
TCIA-CPTAC,C3L-04365-23
TCIA-CPTAC,C3L-04365-24
TCIA-CPTAC,C3L-04365-25
TCIA-CPTAC,C3L-04365-26
TCIA-CPTAC,C3L-04365-27
TCIA-CPTAC,C3L-04365-28
